OID_,IN_FID,NEAR_FID,NEAR_DIST
0,0,3,1670.6783
1,1,2,1644.0915
2,2,2,1606.0762
3,3,2,1622.7271
4,4,3,1074.5084
5,5,3,958.7369
6,6,3,1444.0817
7,7,3,639.311
8,8,3,655.1272
9,9,3,460.0043
10,10,3,522.2105
11,11,3,68.0868
12,12,3,74.6309
13,13,3,766.2749
14,14,3,816.5535
15,15,3,834.3501
16,16,3,826.2156
17,17,3,3458.3154
18,18,2,3398.8546
19,19,2,3545.5518
20,20,2,3569.7968
21,21,2,3793.3331
22,22,2,2976.4564
23,23,2,1287.0261
24,24,2,1789.9263
25,25,2,2847.9681
26,26,2,2939.4671
27,27,2,2569.6505
28,28,2,2617.0719
29,29,2,3156.6733
30,30,2,3447.8438
31,31,2,3488.8475
32,32,2,3392.5819
33,33,2,3755.0737
34,34,2,3583.8331
35,35,2,1952.7594
36,36,2,1983.5678
37,37,2,1995.4713
38,38,2,2792.1089
39,39,2,2192.6084
40,40,2,2251.0995
41,41,2,954.7224
42,42,2,833.4919
43,43,2,704.0559
44,44,2,1569.1733
45,45,2,972.0496
46,46,2,1591.317
47,47,2,1924.8402
48,48,2,1801.1888
49,49,2,1799.9443
50,50,2,1757.1286
51,51,2,1835.5963
52,52,2,1771.3375
53,53,2,3901.5788
54,54,2,3852.7724
55,55,2,3666.1733
56,56,2,3761.5555
57,57,2,3481.8544
58,58,2,3783.1546
59,59,2,3963.4472
60,60,2,3966.1351
61,61,2,2475.5618
62,62,2,3548.1196
63,63,2,3184.285
64,64,2,3755.1221
65,65,2,3127.0078
66,66,2,1900.0615
67,68,2,2049.2882
68,69,2,2143.8049
69,70,2,2206.9399
70,71,2,2428.9159
71,73,2,1185.2841
72,74,2,1258.1279
73,75,2,1283.5779
74,76,2,1291.9069
75,77,2,1567.8751
76,78,2,1460.0825
77,79,2,1401.3957
78,80,2,1562.8035
79,85,2,2714.0692
80,86,2,2818.9127
81,87,2,2877.834
82,88,2,2922.4152
83,89,2,2998.1708
84,90,2,3003.7385
85,93,2,2916.8332
86,94,2,3099.3794
87,95,2,319.1614
88,96,2,490.9481
89,97,2,962.6069
90,98,2,3037.3297
91,99,2,3106.4473
92,100,2,2492.1214
93,101,2,1733.8004
94,102,2,1906.6666
95,103,2,2152.7952
96,104,2,1503.1968
97,105,2,1082.8072
98,106,2,1165.1214
99,107,2,3719.6849
100,108,2,3125.1242
101,109,2,3038.1951
102,110,2,3338.8979
103,111,2,3902.609
104,112,2,4048.5883
105,115,2,3497.513
106,GRNP240,2,-1141.6236
107,GRNP273,2,-3225.6434
108,GRNP29,2,-1696.8085
109,GRNP42,2,-2450.9942
110,GRNP598,2,-4771.3658
111,GRNP663,2,-3693.1872
112,GRNP711,2,-713.1887
113,GRNP742,2,-1203.7527
114,GRNP775,2,-4518.3187
115,GRNP83,2,-2186.9361
116,GRNP98,2,-4093.883
117,Lalehun_Station,2,-242.8348
