,lon,lat,Penetratable_Canopy_Cover,height_m,Plant_Area_Index,Height_Diversity,Foliage_Clumping,Gap_probability,canopy_cover_pct,Colour
1,-10.87484574,7.69529835,0.974707663,34.5,3.580331802,3.288994074,1,0.166315824,0.831964254,red
2,-10.8745521,7.695717587,0.943108022,24.14,3.731922865,3.139211178,1,0.154151574,0.844103396,red
3,-10.87424694,7.696137905,0.950513482,13.22,3.627424717,2.474546194,1,0.162437513,0.835834563,red
4,-10.8739469,7.696557776,0.979107201,39.7,4.392221451,3.263714552,1,0.110731058,0.887434304,red
5,-10.87364815,7.696977548,0.953353226,21.45,-9999,-9999,1,-9999,-9999,black
6,-10.87334438,7.697397801,0.962335885,22.87,2.485924482,2.965994358,1,0.287787765,0.710742831,red
7,-10.87304692,7.697817494,0.957890689,18.36,3.661218405,2.841196299,1,0.159710288,0.838556111,red
8,-10.87274841,7.698237302,0.948061883,22.12,-9999,-9999,1,-9999,-9999,black
9,-10.87244592,7.698657493,0.960351169,17.15,4.000181675,2.759334803,1,0.134764597,0.863450289,red
10,-10.87216019,7.699076161,0.835678279,4.21,0.216751039,1.539463758,1,0.897089541,0.102698125,red
11,-10.8718393,7.699498076,0.823086619,38.84,1.894861341,3.212740898,1,0.386977226,0.611757994,red
12,-10.87153396,7.699918579,0.941160798,15.59,2.457211971,2.596082687,1,0.291957766,0.706581414,red
13,-10.8712301,7.70033896,0.965284407,14.35,3.212692499,2.576814413,1,0.199954122,0.798395216,red
14,-10.87093389,7.700758652,0.955677271,25.38,4.471562862,3.126334667,1,0.106415533,0.891740859,red
15,-10.87062792,7.701179254,0.97952491,25.12,-9999,-9999,1,-9999,-9999,black
16,-10.87032643,7.701599458,0.963719666,43.56,-9999,-9999,1,-9999,-9999,black
17,-10.87002497,7.70201967,0.980942905,23.29,2.433624268,3.010314465,1,0.295428663,0.703117669,red
18,-10.86972257,7.70243998,0.945165336,15.36,3.665491581,2.598866463,1,0.159368694,0.83889693,red
19,-10.86941524,7.702860752,0.973006487,29.95,3.809906721,2.783102274,1,0.148244575,0.849998057,red
20,-10.86911712,7.703280686,0.988352954,28.63,3.542464495,3.160410643,1,0.169501394,0.828785121,red
21,-10.8688159,7.703700914,0.953960776,19.13,3.832629681,2.814882755,1,0.146566391,0.851672769,red
22,-10.8685165,7.70412098,0.957013845,21.3,3.815389395,2.806373119,1,0.147837907,0.850403905,red
23,-10.86820854,7.704541837,0.957366526,29.76,3.060064554,3.170765638,1,0.21584481,0.782537341,red
24,-10.86790735,7.704962077,0.968517661,15.73,2.293800831,2.646643162,1,0.316867501,0.681723058,red
25,-10.86760534,7.705382443,0.958635211,23.85,3.863087654,3.14705348,1,0.144346699,0.853887916,red
26,-10.86730799,7.705802429,0.950180292,21.76,4.233042717,3.006655455,1,0.119923979,0.878260255,red
27,-10.86700329,7.706223092,0.967001259,31.21,-9999,-9999,1,-9999,-9999,black
28,-10.86669862,7.706643752,0.879228115,30.29,-9999,-9999,1,-9999,-9999,black
29,-10.86639364,7.707064438,0.988020182,23.96,-9999,-9999,1,-9999,-9999,black
30,-10.86609453,7.707484583,0.9887802,24.82,2.396025419,3.113039732,1,0.301046789,0.697511137,red
31,-10.86579,7.707905222,0.951750576,13.82,2.293034554,2.358688116,1,0.316989183,0.681601644,red
32,-10.86548993,7.708325446,0.964027226,30.8,3.49787879,3.250971317,1,0.173330486,0.824963927,red
33,-10.86517954,7.708746612,0.988278985,17.45,3.7718575,2.696219921,1,0.151097834,0.847150743,red
34,-10.86487877,7.709166888,0.974466264,16.29,2.358545065,2.710538149,1,0.306753546,0.691816151,red
35,-10.86457665,7.70958728,0.978888452,30.1,-9999,-9999,1,-9999,-9999,black
36,-10.86427639,7.710007491,0.95765686,20.81,4.139549732,2.98678565,1,0.125675246,0.872520864,red
37,-10.8639737,7.710427916,0.966946781,26.17,4.057745934,3.106911898,1,0.130933255,0.867273688,red
38,-10.86368235,7.710847288,0.927103639,21.09,3.963773489,2.894320726,1,0.137245476,0.860974491,red
39,-10.86338274,7.711267407,0.875300407,17.68,2.206260681,2.79877615,1,0.331074774,0.66754508,red
40,-10.86307636,7.711688131,0.964204609,23.13,3.653778791,3.036347151,1,0.160306707,0.837960839,red
41,-10.86277711,7.712108187,0.989557385,18.57,2.717293739,2.805363178,1,0.256287426,0.742178142,red
42,-10.86245667,7.712530171,0.980002046,30.13,-9999,-9999,1,-9999,-9999,black
43,-10.8621531,7.712950589,0.975931287,26.92,3.464167833,3.233165741,1,0.176282942,0.82201761,red
44,-10.86185651,7.713370349,0.975051761,32.04,-9999,-9999,1,-9999,-9999,black
45,-10.86155614,7.713790436,0.989989281,28.14,-9999,-9999,1,-9999,-9999,black
46,-10.86126574,7.714209586,0.941747725,7.69,0.403710425,2.04999876,1,0.816872239,0.182749912,red
47,-10.86094899,7.71463113,0.974319696,22.43,3.494889021,3.078200102,1,0.173590317,0.824704647,red
48,-10.86064524,7.715051458,0.987605035,27.7,-9999,-9999,1,-9999,-9999,black
49,-10.8603413,7.715471778,0.947629094,17.71,3.127375126,2.781510592,1,0.208686873,0.789680541,red
50,-10.86003996,7.715891832,0.957384288,20.14,2.705544472,2.893875599,1,0.257800549,0.740668178,red
51,-10.85973047,7.716312606,0.946479082,24.94,3.484614134,3.070238829,1,0.174486279,0.823810577,red
52,-10.85942663,7.716732832,0.925220907,24.6,3.734998465,3.18228054,1,0.153914183,0.844340265,red
53,-10.85912856,7.717152428,0.920913219,41.58,2.132084846,3.040319681,1,0.343610555,0.655035257,red
54,-10.85884785,7.717570378,0.828922212,4.67,0.245193526,1.664810419,1,0.884396136,0.115365371,red
55,-10.85854168,7.717990628,0.92375052,5.67,0.38615343,1.680724144,1,0.824089706,0.175547361,red
56,-10.8582358,7.718410816,0.931369603,12.34,3.415615559,2.289388418,1,0.180623874,0.817685664,red
57,-10.85793138,7.718830834,0.80354917,4.86,0.157726243,1.689721227,1,0.92401576,0.075827487,red
58,-10.85762971,7.719250562,0.952568948,11.63,1.441747665,2.275394678,1,0.485602856,0.513335884,red
59,-10.85732882,7.719670181,0.850535691,9.01,0.625646174,2.160746574,1,0.730906487,0.268538386,red
60,-10.85702186,7.720090317,0.920391917,5.59,0.142930627,1.627380133,1,0.930891037,0.068966396,red
61,-10.85671653,7.720510262,0.867016375,6.23,0.175490737,1.896695852,1,0.91582793,0.083998404,red
62,-10.85639792,7.72093138,0.949676812,30.1,2.231277704,2.822747469,1,0.326950908,0.671660542,red
63,-10.85610513,7.72135009,0.982310712,16.89,4.381234646,2.54803443,1,0.111342289,0.886824369,red
64,-10.85580198,7.721769703,0.956442177,19.78,2.995615005,2.865869761,1,0.222928554,0.77546829,red
65,-10.85549329,7.722189778,0.986826122,33.2,-9999,-9999,1,-9999,-9999,black
66,-10.85518756,7.722609538,0.956546426,13.64,2.846884012,2.497307301,1,0.240175679,0.758256793,red
67,-10.854881,7.723029332,0.931741714,18.05,3.716503382,2.779651403,1,0.155347109,0.842910349,red
68,-10.85458495,7.723448125,0.929152906,31,3.854341984,3.161498308,1,0.144980639,0.853255451,red
