"sp","V2","V3","V4","V5","V6","mean.auc","incidence"
"V1002",0.767857142857143,0.767857142857143,0.782051282051282,0.642857142857143,0.86,0.764124542124542,8
"V1006",0.737179487179487,0.888888888888889,0.611111111111111,0.407407407407407,0.509259259259259,0.630769230769231,10
"V1017",NA,NA,NA,NA,NA,NA,3
"V1022",0.608974358974359,0.714285714285714,0.642857142857143,0.964285714285714,0.962962962962963,0.778673178673179,7
"V1024",NA,NA,NA,NA,NA,NA,3
"V1026",NA,NA,NA,NA,NA,NA,3
"V1031",0.455128205128205,NA,0.487179487179487,NA,NA,0.471153846153846,6
"V1033",0.339285714285714,0.285714285714286,0.321428571428571,0.601851851851852,0.435185185185185,0.396693121693122,5
"V1038",0.74,0.553571428571429,0.775,0.58,0.470779220779221,0.62387012987013,14
"V1039",0.45,0.438888888888889,0.55,0.409090909090909,0.580555555555555,0.485707070707071,43
"V1045",0.907407407407407,0.875,0.964285714285714,0.928571428571429,1,0.93505291005291,5
"V105",0.392857142857143,0.75,0.576923076923077,0.185185185185185,NA,0.476241351241351,6
"V1052",0.964285714285714,0.535714285714286,0.857142857142857,0.821428571428571,NA,0.794642857142857,4
"V106",0.666666666666667,0.214285714285714,NA,0.857142857142857,0.0925925925925926,0.457671957671958,7
"V1060",0,0.803571428571429,NA,0.892857142857143,NA,0.565476190476191,4
"V1062",0.767857142857143,0.946428571428571,0.222222222222222,0.857142857142857,0.608974358974359,0.68052503052503,7
"V1068",0.805555555555556,0.0892857142857143,0.444444444444444,1,NA,0.584821428571429,5
"V107",0.458333333333333,0.615384615384615,0.851851851851852,0.427536231884058,0.25,0.520621206490772,14
"V1073",NA,NA,NA,NA,NA,NA,3
"V1088",0.875,0.732142857142857,0.5,0.821428571428571,NA,0.732142857142857,5
"V109",NA,NA,NA,NA,NA,NA,3
"V1092",NA,0.303571428571429,NA,0.607142857142857,NA,0.455357142857143,4
"V1096",NA,NA,NA,NA,NA,NA,3
"V1105",NA,NA,NA,NA,NA,NA,3
"V1114",NA,0.946428571428571,0.964285714285714,NA,NA,0.955357142857142,4
"V1116",NA,NA,NA,NA,NA,NA,3
"V113",0.878205128205128,0.712962962962963,1,0.857142857142857,0.214285714285714,0.732519332519332,7
"V1136",0.695833333333333,0.851851851851852,0.296296296296296,0.371794871794872,0.481481481481481,0.539451566951567,9
"V114",0.603535353535353,0.62797619047619,0.757894736842105,0.712121212121212,0.583333333333333,0.656972165261639,38
"V1143",NA,NA,NA,NA,NA,NA,3
"V119",NA,NA,0.357142857142857,0.535714285714286,NA,0.446428571428572,4
"V1190",0.0357142857142857,0.467948717948718,0.574074074074074,0.0714285714285714,0.345,0.29883312983313,9
"V1196",0.787037037037037,0.12962962962963,0.705128205128205,0.5,0.892857142857143,0.602930402930403,10
"V1198",NA,NA,NA,NA,NA,NA,3
"V1199",0.5875,NA,0.550724637681159,0.583333333333333,0.58974358974359,0.577825390189521,19
"V1200",0.604166666666667,NA,0.6125,0.75,0.641025641025641,0.651923076923077,18
"V1201",0.645833333333333,NA,0.779166666666667,0.821428571428571,0.705128205128205,0.737889194139194,17
"V1202",0.375,NA,0.423076923076923,NA,0.666666666666667,0.488247863247863,14
"V1203",0.645833333333333,NA,0.779166666666667,0.821428571428571,0.705128205128205,0.737889194139194,17
"V1204",0.615,NA,0.715,0.75,0.692307692307692,0.693076923076923,16
"V1205",0.604166666666667,NA,0.6125,0.75,0.666666666666667,0.658333333333333,18
"V1206",0.554166666666667,NA,0.658333333333333,0.821428571428571,0.574074074074074,0.652000661375661,15
"V1207",0.351851851851852,NA,0.55,NA,0.464285714285714,0.455379188712522,7
"V1208",0.7375,NA,0.8375,0.857142857142857,0.717948717948718,0.787522893772894,16
"V1209",0.666666666666667,NA,0.698717948717949,NA,0.666666666666667,0.677350427350428,8
"V1210",0.620833333333333,NA,0.758333333333333,0.821428571428571,0.537037037037037,0.684408068783068,16
"V1211",0.455,NA,0.48,NA,0.685185185185185,0.540061728395062,11
"V1212",0.7375,NA,0.829166666666667,0.857142857142857,0.717948717948718,0.785439560439561,16
"V1215",NA,NA,NA,NA,NA,NA,3
"V1228",NA,NA,NA,NA,NA,NA,3
"V1232",0.321428571428571,0.142857142857143,0.388888888888889,NA,0.464285714285714,0.329365079365079,5
"V1234",NA,NA,0.785714285714286,NA,NA,0.785714285714286,5
"V1236",0.37962962962963,NA,0.320512820512821,0.87037037037037,0.481481481481482,0.512998575498576,8
"V1239",0.51,0.592592592592593,0.525,0.434782608695652,0.925925925925926,0.597660225442834,15
"V128",NA,NA,NA,NA,NA,NA,3
"V13",0.807692307692308,0.62037037037037,0.63,0.607142857142857,0.512820512820513,0.63560520960521,11
"V134",NA,NA,NA,NA,NA,NA,4
"V14",NA,NA,NA,NA,NA,NA,3
"V162",0.297101449275362,0.38768115942029,0.59,0.55952380952381,0.31,0.428861283643892,18
"V174",0.545,0.516666666666667,0.800724637681159,0.733766233766234,0.88,0.695231507622812,16
"V177",NA,0.928571428571429,1,1,0.962962962962963,0.972883597883598,5
"V178",0.68,0.655,0.203703703703704,0.730769230769231,0.37,0.527894586894587,19
"V179",0.375,0.62962962962963,0.214285714285714,0.714285714285714,0.585,0.503640211640212,7
"V18",0.964285714285714,0.928571428571429,0.481481481481482,0.964285714285714,0.821428571428571,0.832010582010582,5
"V181",0.715,0.839285714285714,0.384615384615385,0.55,0.0714285714285714,0.512065934065934,12
"V184",NA,0.928571428571429,0.714285714285714,NA,NA,0.821428571428572,4
"V189",0.875,0.928571428571429,NA,0.694444444444444,0.615,0.778253968253968,8
"V217",0.57051282051282,0.898148148148148,0.946428571428571,0.321428571428571,NA,0.684129527879528,6
"V221",NA,NA,0.333333333333333,0.428571428571429,0.25,0.337301587301587,7
"V224",0.712962962962963,0.410714285714286,NA,NA,0.444444444444444,0.522707231040564,5
"V235",0.805,0.928571428571429,0.75,0.607142857142857,0.75,0.768142857142857,7
"V237",NA,NA,NA,NA,NA,NA,3
"V239",0.759259259259259,0.657407407407407,0.642857142857143,0.703703703703704,0.759259259259259,0.704497354497354,5
"V241",0.357142857142857,0.962962962962963,0.66,0.946428571428571,0.685185185185185,0.722343915343915,8
"V244",NA,NA,NA,NA,NA,NA,3
"V246",0.53,0.928571428571429,0.648148148148148,0.888888888888889,0.826923076923077,0.764506308506309,7
"V249",0.446428571428571,0.0357142857142857,NA,0.535714285714286,NA,0.339285714285714,4
"V250",0.716666666666667,0.0714285714285714,0,0.442307692307692,NA,0.307600732600733,10
"V254",0.857142857142857,NA,NA,NA,NA,0.857142857142857,4
"V258",0.428571428571429,NA,0.785714285714286,NA,NA,0.607142857142858,4
